0.0 0.0023794467925755338 239
5838523.710137779 2278944670173487.5 -896188632088.7487 2403086344.082155
5862361.88338304 2490883943028132.5 -875609848143.5867 2385919374.1065307
5886031.393837039 2507680094631837.0 -850978215257.178 2369225183.9915967
5909537.157566622 2672598588493394.5 -827654045480.0776 2353026445.7264066
5932884.123787911 2640351345510379.0 -800725021471.2003 2337341170.655128
5956077.567204028 2762978973711417.0 -775658956099.8972 2322182508.997736
5979122.698874184 2684380199981790.0 -747368650422.0468 2307559419.152822
6002024.971878343 2763508015383081.5 -721431163265.812 2293476265.209198
6024789.684172093 2641335527693778.0 -692701777418.8113 2279933099.6048584
6047422.289879528 2678224296381846.5 -666772310945.4009 2266925655.8019843
6069928.0020022625 2490912736499155.0 -638243482065.9469 2254445480.5776067
6092312.106346447 2471914918680962.0 -613255203329.022 2242477664.1997347
6114579.519035755 2231167303988853.5 -586248357452.9806 2231001757.5229683
6136735.118699321 2169828141426629.0 -563424519968.49 2219992014.882346
6158783.308821153 1898728921145101.0 -539123027157.9846 2209418493.788096
6180728.371824853 1813268493584150.0 -519368746900.0793 2199248243.3346233
6202574.055086257 1522040818917762.0 -498416710676.1125 2189445921.7446237
6224323.9373145 1427508202192108.2 -482322357218.335 2179974192.1318192
6245981.022444964 1120224766274427.6 -465051041740.9927 2170794818.385102
6267548.127841245 1022639719374991.8 -452926716829.16016 2161867972.964994
6289027.4644051595 719110000046805.9 -439723580354.9501 2153153525.7786927
6310421.05044239 642452085018916.9 -431801038877.3085 2144611718.797414
6331730.305205263 366885772541454.75 -422661390628.5726 2136204868.2653284
6352956.496652249 328356605697180.4 -418625142606.8932 2127898062.126948
6374100.348877695 104055212494548.92 -413122965607.4106 2119660167.6039283
6395162.509933883 119137759546653.64 -412237167601.4819 2111465133.2370577
6416143.185186616 -59814745363784.59 -409269427335.12616 2103292221.4978087
6437042.609768963 7364892157983.388 -410533763640.7281 2095125189.7866814
6457860.665629144 -139948138230204.08 -408993814324.0107 2086952959.3071487
6478597.367302682 -37571142149594.42 -411406365636.1261 2078767587.3305752
