0.0 0.0022614762858167016 233
1234539.196172252 107497674649195.12 -60795221561.19573 176555963.6267879
1236247.202999672 137243009849226.5 -60040564600.54348 175406198.45233995
1237944.1486030265 91773312096460.08 -58267172088.27077 174279488.9827694
1239630.283956228 119761877301587.66 -57648083279.296074 173174353.91036826
1241305.776883541 72688296674236.23 -56028793872.6832 172089146.43156657
1242970.8463914334 101552352397656.4 -55603439874.16473 171022068.64960665
1244625.6254037332 52558748859491.08 -54142254855.82679 169971405.1429883
1246270.2996274661 85359795480570.6 -53950488439.19646 168935259.6151693
1247904.9651759048 35966798855989.6 -52642590397.15954 167912106.65236637
1249529.778145027 70998862039610.16 -52633517939.83752 166900383.21611947
1251144.8043066943 22302970483725.312 -51471771816.26574 165898736.44005138
1252750.1734952943 58614961907924.555 -51607742067.95882 164905879.12830782
1254345.9264958824 8315016326290.714 -50550624126.07145 163920644.66019702
1255932.1704966233 45572685393117.42 -50831538816.29463 162941715.30571607
1257508.9207030428 -6758262069527.494 -49881295279.81585 161967862.4220716
1259076.2604531206 99519337304855.73 -50978410816.73917 160997666.03669584
1260634.17738814 261052967897736.6 -51580315768.0454 160036208.173806
1262182.8534973874 -650136695675710.9 -40202638032.86588 159108717.89040837
1263722.7661638984 10564542423312.037 -52925508855.95699 158144574.1195916
1265252.7264939714 41602892590539.266 -53124225725.885864 157120179.69268396
1266772.753806802 -36538766829675.28 -51961996263.53299 156100699.6795296
1268282.9241808783 11848495270899.795 -52786280385.74374 155081696.73045328
1269783.170798391 -58204943220387.3 -51991347849.40756 154060367.843556
1271273.5153264783 -3432379192966.3535 -53087897005.93776 153034671.9647739
1272753.8513267695 -70862117973828.62 -52466744597.94596 152003169.565029
1274224.1725225323 -11602706744445.53 -53729692033.86356 150964668.2798956
1275684.3493294404 -77974044872312.8 -53198112801.745476 149918398.42671484
1277134.3605298253 -15811524737283.736 -54558265241.835495 148863690.02906674
1278574.063533903 -82444083393817.53 -54065001022.82076 147800146.59682232
1280003.4294274128 -20929303744910.992 -55462252331.426476 146727347.03167036
1281422.3074462886 -89768955178466.08 -54997238961.70643 145644809.21514866
1282830.659317476 -28454490023977.125 -56463640559.413826 144551843.1104435
1284228.3208820429 -98874228408593.28 -56056329769.72418 143447739.81018874
1285615.240105757 -36826586314859.695 -57618222447.875145 142331641.55551687
1286991.2361790314 -106749968248032.38 -57296988034.022285 141202759.6562202
1288356.2417577263 -46870684038337.914 -58914276029.54846 140060352.1811653
1289710.0616300257 -112614314394955.62 -58731096971.423584 138903472.92987326
1291052.6100843227 -53789408982118.22 -60395070061.78453 137731569.45380315
1292383.6811847733 -112868556996582.73 -60343728347.70957 136543989.97705284
1293703.176567618 -52784268976932.88 -62022392543.288 135340710.54879284
1295010.8898320838 -100188240921740.36 -62074613204.865326 134121825.85786235
1296306.7244524935 -43340220741527.98 -63598792520.29767 132888530.44870663
1297590.497216348 -73855632042062.62 -63723268925.53648 131641713.99436629
1298862.1288681375 -28626210071150.457 -64879097361.784 130383857.14843695
1300121.4843493481 -45308513743321.81 -64995023804.19955 129116346.0388044
1301368.511311726 6787057154387181.0 -131749088456.04651 127841869.93609779
1302603.1269003777 0.0 0.0 127202497.74892756
-0.058242719963314316 0.0 233
781439.8419519317 -430608408714.3526 107638647.90814506 -5933572.726532846
779956.634163548 3093952456.732202 -108412039.35241272 -5960479.025362647
778459.9749071128 294081600.7006376 -106938767.6755096 -6014098.299325632
776949.9608323937 4650190180.935594 -107954147.50321013 -6067505.874085929
775426.6011259956 -510684979.10799915 -105501687.71266404 -6120604.509096423
773890.041051883 4867005202.255102 -106973597.5217154 -6173444.489696752
